QuestionNum,Question,Answer1,Answer2,Answer3,Answer4,Correctanswer,QuizID,FinalQ,Random word,
86,dea ,victory,"think, consider","shout, shouting, noise",goddess,d,LLC,n,goddess,
87,debeo ,"owe, ought, should, must","that, so that, in order that","freedman, ex-slave","weep, cry",a,LLC,n,"owe, ought, should, must",
88,defendo ,stand,who? what?,"think, consider",defend,d,LLC,n,defend,
89,deinde,difficult,then,horse,"and so, therefore",b,LLC,n,then,
90,deleo ,"conquer, win, be victorious",time,destroy,"give back, restore",c,LLC,n,destroy,
91,descendo ,"go down, come down","after, when",water,hour,a,LLC,n,"go down, come down",
92,deus ,"this, that, he, she, it, them",god,"finish, wear out","nearest, next to",b,LLC,n,god,
93,dico ,"so great, such a great","say, speak, tell",live,guard,b,LLC,n,"say, speak, tell",
94,dies ,wound,kingdom,day,home,c,LLC,n,day,
95,difficilis ,name,not know,turn,difficult,d,LLC,n,difficult,
96,diligens,careful,prefer,- back,"into, onto",a,LLC,n,careful,
97,dirus ,resist,"nearest, next to","laugh, smile",dreadful,d,LLC,n,dreadful,
98,discedo ,sea,"depart, leave","this, he, she, it",with,b,LLC,n,"depart, leave",
99,diu ,first,die,for a long time,"warn, advise",c,LLC,n,for a long time,
100,do ,give,"much, many",garden,"your (singular), yours",a,LLC,n,give,
101,doceo,not know,teach,word,name,b,LLC,n,teach,
102,domina ,army,mistress,not know,sit,b,LLC,n,mistress,
103,dominus ,advance,"alone, lonely, only, on one's own",master,"that, so that, in order that",c,LLC,n,master,
104,domus ,,reply,"very little, least, no",home,d,LLC,n,home,
105,donum ,"gift, present",long,you (singular),book,a,LLC,n,"gift, present",
106,dormio ,"run away, flee","remain, stay",army,sleep,d,LLC,n,sleep,
107,duco ,the same,"lead, take",man,"lead, take",b,LLC,n,"lead, take",
108,dum ,"almost, nearly",tomorrow,"while, until",escape,c,LLC,n,"while, until",
109,dux ,leader,very greatly,"bring/carry back, report, tell",set out,a,LLC,n,leader,
110,"e, ex ","force, compel","from, out of, out",ever,"ground, land, country",b,LLC,n,"from, out of, out",
111,ecce!,part,look!,for,hurry,b,LLC,n,look!,
112,effugio ,wicked,"can, be able",escape,"once, some time ago",c,LLC,n,escape,
113,ego ,against,gate,"burn, set on fire","I, me",d,LLC,n,"I, me",
114,egredior ,go out,against,then,,a,LLC,n,go out,
115,emo ,"freedman, ex-slave","not any, no","emperor, general, leader",buy,d,LLC,n,buy,
116,enim ,always,for,"announce, report",follow,b,LLC,n,for,
117,eo ,whether,how many?,go,hold,c,LLC,n,go,
118,epistula ,letter,"forum, market place",,"dinner, meal",a,LLC,n,letter,
119,equus ,on the next day,horse,"approach, come near to",whether,b,LLC,n,horse,
120,et ,reply,"and, even",frighten,love,b,LLC,n,"and, even",
121,et ... et ,at first,without,both ... and,"spirit, soul, mind",c,LLC,n,both ... and,
122,etiam ,"joy, pleasure",dreadful,live,"also, even",d,LLC,n,"also, even",
123,exercitus ,army,build,soon,"prepare, provide",a,LLC,n,army,
124,exspecto ,"accept, take in, receive","not want, refuse","the rest, the others","wait for, expect",d,LLC,n,"wait for, expect",
125,facilis ,father,easy,"from, out of, out",meanwhile,b,LLC,n,easy,
126,facio ,"hand, group of people",dreadful,"make, do",fight,c,LLC,n,"make, do",
127,faveo,"favour, support",victory,write,"nearest, next to",a,LLC,n,"favour, support",
128,felix ,"short, brief","fortunate, happy",kill,peace,b,LLC,n,"fortunate, happy",
129,femina ,near,woman,"give back, restore","be pleased, rejoice",b,LLC,n,woman,
130,fero,"freedman, ex-slave",daughter,"bring, carry, bear",drive,c,LLC,n,"bring, carry, bear",
131,ferox ,danger,the same,master,"fierce, ferocious",d,LLC,n,"fierce, ferocious",
132,festino ,hurry,teach,"not want, refuse",good,a,LLC,n,hurry,
133,fidelis ,again,victory,war,"faithful, loyal",d,LLC,n,"faithful, loyal",
134,filia ,how?,daughter,"unless, except",beg,b,LLC,n,daughter,
135,filius ,"encourage, urge","much, many",son,write,c,LLC,n,son,
136,flumen ,river,guard,be accustomed,"read, choose",a,LLC,n,river,
137,forte,"get up, stand up, rise",by chance,"as, when","violently, loudly",b,LLC,n,by chance,
138,fortis ,"family, tribe, race, people",brave,"approach, come near to",find,b,LLC,n,brave,
139,forum ,kill,"tell, relate","forum, market place",again,c,LLC,n,"forum, market place",
140,frater ,"understand, realise",huge,then,brother,d,LLC,n,brother,
141,frustra,in vain,"also, too",rule,,a,LLC,n,in vain,
142,fugio ,"force, compel",not,wicked,"run away, flee",d,LLC,n,"run away, flee",
143,gaudeo ,"and, even","be pleased, rejoice",surely ... ?,"wound, injure",b,LLC,n,"be pleased, rejoice",
144,gaudium,"and so, therefore",sword,"joy, pleasure","work, toil",c,LLC,n,"joy, pleasure",
145,gens ,"family, tribe, race, people","be absent, be away, be distant from",write,enter,a,LLC,n,"family, tribe, race, people",
146,gero,book,"wear (clothes), wage (war)",reply,"that, so that, in order that",b,LLC,n,"wear (clothes), wage (war)",
147,gladius ,today,sword,greet,"messenger, message, news",b,LLC,n,sword,
148,gravis ,punishment,set out,"heavy, serious","art, skill",c,LLC,n,"heavy, serious",
149,habeo ,throw,"look at, watch","in this way, to such an extent, so","have, hold",d,LLC,n,"have, hold",
150,habito ,live,when?,temple,not know,a,LLC,n,live,
151,heri,"also, too",cruel,time,yesterday,d,LLC,n,yesterday,
152,hic ,"understand, realise","this, he, she, it","finish, wear out","where? where, when",b,LLC,n,"this, he, she, it",
153,hodie ,"slave-girl, slave-woman","suffer, endure",today,"that ... not, so that ... not, that, lest",c,LLC,n,today,
154,homo ,"man, human being",master,"highest, greatest, top (of)","announce, report",a,LLC,n,"man, human being",
155,hora ,and,hour,old man,tomorrow,b,LLC,n,hour,
156,hortor ,easy,"encourage, urge","take, catch, capture, make (a plan)","famous, clear",b,LLC,n,"encourage, urge",
157,hortus ,money,hold,garden,"suffer, endure",c,LLC,n,garden,
158,hostis ,new,"stupid, foolish",,enemy,d,LLC,n,enemy,
159,iaceo ,lie,"house, country villa",,,a,LLC,n,lie,
160,iacio ,meanwhile,"pay the penalty, be punished",,throw,d,LLC,n,throw,
161,iam ,"hand, group of people","now, already",man,"highest, greatest, top (of)",b,LLC,n,"now, already",
162,ianua ,how big? how much?,man,door,"prepare, provide",c,LLC,n,door,
163,ibi ,there,sell,"arms, weapons",our,a,LLC,n,there,
164,idem ,as soon as,the same,"weep, cry",from where?,b,LLC,n,the same,
165,igitur,victory,"therefore, and so","comrade, companion","hand, group of people",b,LLC,n,"therefore, and so",
166,ille ,"overcome, overpower",crime,"that, he, she, it",man,c,LLC,n,"that, he, she, it",
167,imperator,"get up, stand up, rise",drink,"believe, trust","emperor, general, leader",d,LLC,n,"emperor, general, leader",
168,imperium,"empire, power, command","can, be able","pay the penalty, be punished",,a,LLC,n,"empire, power, command",
169,impero ,food,blood,then,"order, command",d,LLC,n,"order, command",
170,in ,love,"in, on",however,"as, when",b,LLC,n,"in, on",
171,in ,"look at, watch",near,"into, onto",brother,c,LLC,n,"into, onto",
172,incendo ,"burn, set on fire","be silent, be quiet","run away, flee",enemy,a,LLC,n,"burn, set on fire",
173,infelix ,"make, do","unlucky, unhappy",sailor,husband,b,LLC,n,"unlucky, unhappy",
174,ingens ,"that ... not, so that ... not, that, lest",huge,father,"savage, cruel",b,LLC,n,huge,
175,ingredior ,sacred,"shout, shouting, noise",enter,young man,c,LLC,n,enter,
176,inimicus ,greet,praise,"man, human being",enemy,d,LLC,n,enemy,
177,inquit ,"he/she says, he/she said","hope, expect",sea,"go back, return",a,LLC,n,"he/she says, he/she said",
178,insula ,enemy,show,kill,"island, block of flats",d,LLC,n,"island, block of flats",
179,intellego ,"willingly, gladly","understand, realise",go,"shop, inn",b,LLC,n,"understand, realise",
180,inter ,although,friend,"among, between","overcome, overpower",c,LLC,n,"among, between",
181,interea ,meanwhile,kill,"to, towards, at",rule,a,LLC,n,meanwhile,
182,interficio ,enter,kill,"look at, watch",young man,b,LLC,n,kill,
183,intro ,teach,enter,victory,"fierce, ferocious",b,LLC,n,enter,
184,invenio ,my,"much, many",find,very greatly,c,LLC,n,find,
185,invito,offer,"laugh, smile",,invite,d,LLC,n,invite,
186,ipse ,"himself, herself, itself, themselves","finish, wear out","this, he, she, it","also, too",a,LLC,n,"himself, herself, itself, themselves",
187,ira ,around,"evil, bad","freedman, ex-slave",anger,d,LLC,n,anger,
188,iratus ,write,angry,prefer,place,b,LLC,n,angry,
189,is ,"be absent, be away, be distant from","such, of such a kind","this, that, he, she, it, them",send,c,LLC,n,"this, that, he, she, it, them",
190,ita ,"in this way, to such an extent, so","beautiful, handsome","unlucky, unhappy","after, when",a,LLC,n,"in this way, to such an extent, so",
191,itaque ,"say, speak, tell","and so, therefore","from, out of, out",attack,b,LLC,n,"and so, therefore",
192,iter ,whole,journey,"into, onto",new,b,LLC,n,journey,
193,iterum ,"bring/carry back, report, tell",terrified,again,"be silent, be quiet",c,LLC,n,again,
194,iubeo ,"arms, weapons",god,from where?,order,d,LLC,n,order,
195,iuvenis ,young man,"I, me",live,advance,a,LLC,n,young man,
196,labor ,stand,"owe, ought, should, must",wicked,"work, toil",d,LLC,n,"work, toil",
197,laboro ,how?,"work, toil","all, every",small,b,LLC,n,"work, toil",
198,lacrimo,persuade,"plan, idea, advice","weep, cry",on the next day,c,LLC,n,"weep, cry",
199,laetus ,happy,persuade,climb,"hear, listen to",a,LLC,n,happy,
200,laudo ,"announce, report",praise,be,"catch sight of, notice",b,LLC,n,praise,
201,legio ,build,legion,kill,"captive, prisoner",b,LLC,n,legion,
202,lego ,"read, choose","spirit, soul, mind","read, choose",invite,c,LLC,n,"read, choose",
203,lentus,foot,year,small,slow,d,LLC,n,slow,
204,libenter ,"willingly, gladly",slave,blood,my,a,LLC,n,"willingly, gladly",
205,liber ,"all, every",happen,"be pleased, rejoice",book,d,LLC,n,book,
206,liberi ,place,children,"in, on","that, so that, in order that",b,LLC,n,children,
207,libero ,"at last, finally",fall,set free,,c,LLC,n,set free,
208,libertus ,"freedman, ex-slave",both ... and,"courage, virtue",happen,a,LLC,n,"freedman, ex-slave",
209,locus ,be accustomed,place,"therefore, and so","take, catch, capture, make (a plan)",b,LLC,n,place,
210,longus ,show,long,master,punishment,b,LLC,n,long,
211,loquor ,eat,set out,"speak, talk",year,c,LLC,n,"speak, talk",
212,lux ,stand,drive,camp,"light, daylight",d,LLC,n,"light, daylight",
213,magnus ,"big, large, great","big, large, great","bring/carry back, report, tell",storm,a,LLC,n,"big, large, great",
214,malo ,"savage, cruel",whether,slow,prefer,d,LLC,n,prefer,
215,malus ,boy,"evil, bad",hold,"into, onto",b,LLC,n,"evil, bad",
216,maneo ,against,punish,"remain, stay",husband,c,LLC,n,"remain, stay",
217,manus ,"hand, group of people",king,stand,(introduces question),a,LLC,n,"hand, group of people",
218,mare ,"family, tribe, race, people",sea,"encourage, urge","family, tribe, race, people",b,LLC,n,sea,
219,maritus,"also, too",husband,"all, every",how big? how much?,b,LLC,n,husband,
220,mater ,good,"his, her, its, their (own)",mother,blood,c,LLC,n,mother,
221,maxime,"favour, support",king,"approach, come near to",very greatly,d,LLC,n,very greatly,
222,medius ,middle,master,"believe, trust","at once, immediately",a,LLC,n,middle,
223,meus ,"save, protect, keep",you (plural),hope,my,d,LLC,n,my,
224,miles ,"be pleased, rejoice",soldier,how big? how much?,"encourage, urge",b,LLC,n,soldier,
225,minime ,strong,"I, me","very little, least, no",who? what?,c,LLC,n,"very little, least, no",
226,miror ,"wonder at, admire",dreadful,by chance,soon,a,LLC,n,"wonder at, admire",
227,miser ,attack,"miserable, wretched, sad",god,"warn, advise",b,LLC,n,"miserable, wretched, sad",
228,mitto ,lie,send,food,water,b,LLC,n,send,
229,modus ,"your (plural), yours",fall,"manner, way, kind",middle,c,LLC,n,"manner, way, kind",
230,moneo ,"unless, except",son,at the same time,"warn, advise",d,LLC,n,"warn, advise",
231,mons ,mountain,"island, block of flats","family, tribe, race, people","himself, herself, itself, themselves",a,LLC,n,mountain,
232,morior ,hurry,"have, hold",and,die,d,LLC,n,die,
233,mors ,"light, daylight",death,be,drink,b,LLC,n,death,
234,moveo ,"no one, nobody","have, hold",move,think,c,LLC,n,move,
235,mox ,soon,when?,hurry,beg,a,LLC,n,soon,
236,multo,"his, her, its, their (own)",much,wife,terrified,b,LLC,n,much,
237,multus ,"famous, clear","much, many",live,"go back, return",b,LLC,n,"much, many",
238,murus ,citizen,die,wall,"fear, be afraid",c,LLC,n,wall,
239,nam ,children,army,rule,for,d,LLC,n,for,
240,narro ,"tell, relate","dinner, meal","search for, look for, ask",old man,a,LLC,n,"tell, relate",
241,nauta ,"than, how ... ? how ... !",now,river,sailor,d,LLC,n,sailor,
242,navigo ,"overcome, overpower",sail,"this, he, she, it","from, out of, out",b,LLC,n,sail,
243,navis ,foot,"wait for, expect",ship,strong,c,LLC,n,ship,
244,ne ,"that ... not, so that ... not, that, lest",soon,sleep,food,a,LLC,n,"that ... not, so that ... not, that, lest",
245,"nec, neque","come together, gather, meet","and not, nor, neither",began,hour,b,LLC,n,"and not, nor, neither",
246,neco ,middle,kill,sad,river,b,LLC,n,kill,
247,nemo ,girl,in vain,"no one, nobody","art, skill",c,LLC,n,"no one, nobody",
248,nescio ,move,huge,invite,not know,d,LLC,n,not know,
249,nihil ,nothing,battle,"some, several",sail,a,LLC,n,nothing,
250,nisi ,"than, how ... ? how ... !",old man,the same,"unless, except",d,LLC,n,"unless, except",
251,nolo ,reply,"not want, refuse","high, deep",turn,b,LLC,n,"not want, refuse",
252,nomen ,punishment,"seize, grab",name,"courage, virtue",c,LLC,n,name,
253,non ,not,field,"weep, cry","favour, support",a,LLC,n,not,
254,nonne ...? ,what sort of?,surely ... ?,arrive,year,b,LLC,n,surely ... ?,
255,nonnulli,"some, several","some, several","fortunate, happy","want, wish, be willing",b,LLC,n,"some, several",
256,nos ,"shout, shouting, noise",promise,"we, us",dare,c,LLC,n,"we, us",
257,noster ,drink,"all, every",terrified,our,d,LLC,n,our,
258,novus ,new,death,throw,sell,a,LLC,n,new,
259,nox ,"dinner, meal",daughter,praise,night,d,LLC,n,night,
260,nullus ,"stupid, foolish","not any, no",why?,consul,b,LLC,n,"not any, no",
261,num ,decide,"high, deep",whether,"from, down from, about",c,LLC,n,whether,
262,num ... ? ,surely ... not? whether,in vain,"under, beneath","freedman, ex-slave",a,LLC,n,surely ... not? whether,
263,numquam ,time,never,"get to know, find out",then,b,LLC,n,never,
264,nunc ,as ... as possible,now,"tell, relate","than, how ... ? how ... !",b,LLC,n,now,
265,nuntio ,sell,defend,"announce, report",defend,c,LLC,n,"announce, report",
266,nuntius ,"crush, overwhelm",show,man,"messenger, message, news",d,LLC,n,"messenger, message, news",
267,occido ,kill,war,"country, homeland","through, along",a,LLC,n,kill,
268,offero ,stand,"from, down from, about",sit,offer,d,LLC,n,offer,
269,olim ,"wound, injure","once, some time ago",happy,offer,b,LLC,n,"once, some time ago",
270,omnis ,you (plural),"your (singular), yours","all, every",soon,c,LLC,n,"all, every",
271,opprimo,"crush, overwhelm",wood,sell,blood,a,LLC,n,"crush, overwhelm",
272,oppugno ,how?,attack,"comrade, companion","get to know, find out",b,LLC,n,attack,
273,oro ,legion,beg,"famous, clear","so great, such a great",b,LLC,n,beg,
274,ostendo ,young man,kill,show,resist,c,LLC,n,show,
275,paene ,then,well,promise,"almost, nearly",d,LLC,n,"almost, nearly",
276,paro ,"prepare, provide",you (singular),"plan, idea, advice",decide,a,LLC,n,"prepare, provide",
277,pars ,journey,"go back, return",love,part,d,LLC,n,part,
278,parvus ,wine,small,"ask, ask for",place,b,LLC,n,small,
279,pater ,"fortunate, happy","in this way, to such an extent, so",father,"come together, gather, meet",c,LLC,n,father,
280,patior ,"suffer, endure","order, command",small,victory,a,LLC,n,"suffer, endure",
281,patria ,advance,"country, homeland",man,"feel, notice",b,LLC,n,"country, homeland",
282,pauci ,"at last, finally","few, a few","take, catch, capture, make (a plan)",however,b,LLC,n,"few, a few",
283,pax ,if,"your (singular), yours",peace,"care, worry",c,LLC,n,peace,
284,pecunia ,both ... and,"ask, ask for",praise,money,d,LLC,n,money,
285,pello,drive,fight,enter,,a,LLC,n,drive,
286,per ,"emperor, general, leader","where? where, when",without,"through, along",d,LLC,n,"through, along",
287,pereo ,Rome,"die, perish",at first,"through, along",b,LLC,n,"die, perish",
288,periculum ,drink,"not any, no",danger,"order, command",c,LLC,n,danger,
289,persuadeo ,persuade,"think, consider","so much, so greatly, to such an extent",walk,a,LLC,n,persuade,
290,perterritus ,"look at, watch",terrified,call,call,b,LLC,n,terrified,
291,pes ,what sort of?,foot,"be absent, be away, be distant from","remain, stay",b,LLC,n,foot,
292,peto ,"live, be alive",now,"make for, seek, beg/ask for",young man,c,LLC,n,"make for, seek, beg/ask for",
293,poena ,"also, even",walk,"also, even",punishment,d,LLC,n,punishment,
294,poenas do ,"pay the penalty, be punished","wait for, expect","wear (clothes), wage (war)",whether,a,LLC,n,"pay the penalty, be punished",
295,pono ,"owe, ought, should, must","fierce, ferocious",tomorrow,"put, place, set up",d,LLC,n,"put, place, set up",
296,porta ,"street, road, way",gate,"wonder at, admire","as, when",b,LLC,n,gate,
297,porto ,live,"in, on","carry, bear, take",life,c,LLC,n,"carry, bear, take",
298,possum ,"can, be able","hear, listen to",now,"bold, daring",a,LLC,n,"can, be able",
299,post ,"courage, virtue","after, behind","die, perish","work, toil",b,LLC,n,"after, behind",
300,postea ,blood,afterwards,"forces, troops",army,b,LLC,n,afterwards,
301,postquam ,attack,see,"after, when",today,c,LLC,n,"after, when",
302,postridie ,"unless, except","famous, clear",whether,on the next day,d,LLC,n,on the next day,
303,praemium ,"prize, reward, profit","light, daylight",turn,"approach, come near to",a,LLC,n,"prize, reward, profit",
304,primo ,offer,"after, behind","empire, power, command",at first,d,LLC,n,at first,
305,primus ,"evil, bad",first,battle,legion,b,LLC,n,first,
306,princeps,"the rest, the others",arrive,"chief, emperor","who, which",c,LLC,n,"chief, emperor",
307,pro ,"in front of, for, in return for",girl,"leave, leave behind",around,a,LLC,n,"in front of, for, in return for",
308,procedo ,go out,"advance, proceed",at the same time,"depart, leave",b,LLC,n,"advance, proceed",
309,proelium ,kingdom,battle,"prize, reward, profit","other, another, else",b,LLC,n,battle,
310,proficiscor ,"such, of such a kind","look at, watch",set out,"after, behind",c,LLC,n,set out,
311,progredior ,"force, compel",children,camp,advance,d,LLC,n,advance,
312,promitto ,promise,money,"I, me",,a,LLC,n,promise,
313,prope,with,"slave-girl, slave-woman",Roman,near,d,LLC,n,near,
314,propter ,gate,"on account of, because of","burn, set on fire","freedman, ex-slave",b,LLC,n,"on account of, because of",
315,proximus ,advance,attack,"nearest, next to",war,c,LLC,n,"nearest, next to",
316,puella ,girl,citizen,"work, toil",throw,a,LLC,n,girl,
317,puer ,greet,boy,never,die,b,LLC,n,boy,
318,pugno ,soldier,fight,you (plural),gate,b,LLC,n,fight,
319,pulcher ,"house, country villa","pay the penalty, be punished","beautiful, handsome","sky, heaven",c,LLC,n,"beautiful, handsome",
320,punio,"forces, troops","carry, bear, take","voice, shout",punish,d,LLC,n,punish,
321,puto ,think,"want, wish, be willing",brave,slow,a,LLC,n,think,
322,quaero ,"now, already","savage, cruel",if,"search for, look for, ask",d,LLC,n,"search for, look for, ask",
323,qualis? ,surely ... ?,what sort of?,by chance,brother,b,LLC,n,what sort of?,
324,quam,on the next day,"order, command",as ... as possible,"one, a certain, some",c,LLC,n,as ... as possible,
325,quam ,"than, how ... ? how ... !","believe, trust","order, command",on the next day,a,LLC,n,"than, how ... ? how ... !",
326,quamquam ,"from, out of, out",although,for,hurry,b,LLC,n,although,
327,quando?,our,when?,"and so, therefore","take away, carry off, steal",b,LLC,n,when?,
328,quantus? ,"so much, so greatly, to such an extent","go back, come back, return",how big? how much?,"also, even",c,LLC,n,how big? how much?,
329,qui ,"sky, heaven",new,resist,"who, which",d,LLC,n,"who, which",
330,quidam ,"one, a certain, some",kill,"also, even",destroy,a,LLC,n,"one, a certain, some",
331,quis? ,"take, catch, capture, make (a plan)","get to know, find out","light, daylight",who? what?,d,LLC,n,who? what?,
332,quo? ,how big? how much?,to where?,frighten,reply,b,LLC,n,to where?,
333,quod ,beg,today,because,"owe, ought, should, must",c,LLC,n,because,
334,quomodo? ,how?,strong,"faithful, loyal","suffer, endure",a,LLC,n,how?,
